,RequestNumber,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,His63925001225088853600,,Nifty Midcap 50,31 Aug 2026,18380.9,18491.45,18207.75,18491.45
1,His63925001225088853600,,Nifty Midcap 50,28 Aug 2026,18377.65,18449.25,18360.35,18405.80
2,His63925001225088853600,,Nifty Midcap 50,27 Aug 2026,18414.9,18452,18348.45,18361.75
3,His63925001225088853600,,Nifty Midcap 50,26 Aug 2026,18446.1,18500.95,18380.6,18380.60
4,His63925001225088853600,,Nifty Midcap 50,25 Aug 2026,18330.55,18412.25,18265.15,18412.25
5,His63925001225088853600,,Nifty Midcap 50,24 Aug 2026,18334.65,18358.8,18283.7,18331.75
6,His63925001225088853600,,Nifty Midcap 50,21 Aug 2026,18307.25,18320.25,18226,18320.25
7,His63925001225088853600,,Nifty Midcap 50,20 Aug 2026,18319.45,18385.85,18283.7,18300.65
8,His63925001225088853600,,Nifty Midcap 50,19 Aug 2026,18236.8,18242.65,18148.85,18220.70
9,His63925001225088853600,,Nifty Midcap 50,18 Aug 2026,18257.5,18273.05,18188.05,18216.80
10,His63925001225088853600,,Nifty Midcap 50,17 Aug 2026,18231.55,18323.95,18185.4,18279.00
11,His63925001225088853600,,Nifty Midcap 50,14 Aug 2026,18399.55,18403.5,18260.65,18260.65
12,His63925001225088853600,,Nifty Midcap 50,13 Aug 2026,18347.9,18396.35,18288.7,18396.35
13,His63925001225088853600,,Nifty Midcap 50,12 Aug 2026,18333.25,18355.95,18197,18355.95
14,His63925001225088853600,,Nifty Midcap 50,11 Aug 2026,18319.95,18327.05,18219.15,18312.35
15,His63925001225088853600,,Nifty Midcap 50,10 Aug 2026,18208.95,18336.75,18155.75,18298.90
16,His63925001225088853600,,Nifty Midcap 50,07 Aug 2026,18100.85,18225.6,18083.45,18172.60
17,His63925001225088853600,,Nifty Midcap 50,06 Aug 2026,18256.9,18258.65,18115.9,18125.25
18,His63925001225088853600,,Nifty Midcap 50,05 Aug 2026,18323.8,18324.45,18179.35,18218.45
19,His63925001225088853600,,Nifty Midcap 50,04 Aug 2026,18306.55,18306.55,18127.9,18215.85
