timestamp,open,high,low,close,volume,return_1,log_return_1,sma_10,sma_50,volatility_10,price_change_pct,volume_spike,rsi,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,bb_percent_b,atr,momentum_zscore,session_range_ratio,atr_trailing_stop,atr_position,atr_buy_signal,atr_sell_signal,target_return,target_direction
2026-01-06 16:00:00+00:00,1.16952,1.16982,1.16856,1.1688,6421.62,-0.0006156371844857,-0.0006158267668705,1.170928,1.1709244,0.0012907086770013,0.0006156371844857,False,23.915487378730802,-0.0007087896579296427,-0.0003482357648008908,-0.00036055389312875184,1.1745646439501802,1.1690183560498195,1.1717914999999999,-0.039369764740351074,0.0011514627298463442,-0.7562011144938194,0.19047619047619888,1.1726689944878632,0,0,0,0.0010694729637235056,1
2026-01-06 17:00:00+00:00,1.16878,1.17006,1.16868,1.17005,4529.23,0.0010694729637235,0.0010689014849312,1.170644,1.1708246,0.0011109675462795,0.0010694729637235,False,34.85616429550487,-0.0007227951783270736,-0.0004231476475061274,-0.0002996475308209462,1.1745638118473902,1.1688141881526097,1.171689,0.21493786602280945,0.0011677868205716166,1.739770217114858,0.9927536231883591,1.1726689944878632,0,0,0,-0.0010512371266185871,0
2026-01-06 18:00:00+00:00,1.17005,1.1702,1.16868,1.16882,4475.97,-0.0010512371266185,-0.0010517900639128,1.170245,1.1707262,0.0009517031516633,0.0010512371266185,False,30.24711208463671,-0.0008236508404240173,-0.0005032482860897054,-0.00032040255433431186,1.1746838885448856,1.1683921114551143,1.171538,0.06800758176593016,0.0011929449048164989,-1.320162240967123,0.09210526315791588,1.1726689944878632,0,0,0,0.00011977892233194787,1
2026-01-06 19:00:00+00:00,1.16882,1.16909,1.16837,1.16896,3305.97,0.0001197789223319,0.0001197717494096,1.170009,1.1706442,0.0009481145031629,0.0001197789223319,False,31.35966086507976,-0.0008821143837711709,-0.0005790215056259985,-0.0003030928781451724,1.1747649740924724,1.1680630259075275,1.171414,0.13383781368041867,0.0011591631259010387,0.32262735633528244,0.8194444444445087,1.1726689944878632,0,0,0,-0.0002480837667669933,0
2026-01-06 20:00:00+00:00,1.16897,1.16931,1.16864,1.16867,4612.42,-0.0002480837667669,-0.000248114544635,1.16975,1.1705800000000002,0.0009217977604157,0.0002480837667669,False,30.282206149526672,-0.0009410004717640419,-0.0006514172988536072,-0.0002895831729104347,1.1748292365001904,1.1676997634998094,1.1712645,0.13608810919668632,0.0011242229026224052,-0.17319100483161556,0.04477611940326702,1.1722750132834874,0,0,0,0.00015402123781727006,1
2026-01-06 21:00:00+00:00,1.16869,1.16887,1.16844,1.16885,2925.95,0.0001540212378172,0.0001540093777642,1.169574,1.1705108,0.0009072571606506,0.0001540212378172,False,31.847404069625455,-0.0009620536692309667,-0.0007135445729290792,-0.00024850909630188753,1.1747486013301738,1.1674123986698262,1.1710805,0.1959598714392205,0.0010746355524351016,0.4645949581551461,0.9534883720927351,1.1722235119551385,0,0,0,-5.1332506309620385e-05,0
2026-01-06 22:00:00+00:00,1.16881,1.16881,1.16847,1.16879,979.16,-5.133250630962039e-05,-5.133382386781164e-05,1.169444,1.1704518,0.0009181769376786,5.133250630962039e-05,False,31.592793118935703,-0.0009723710898195126,-0.0007653098763071659,-0.00020706121351234672,1.174419054439023,1.1672499455609775,1.1708345000000002,0.21481811271394316,0.0010250187272611692,0.2590288947628631,0.9411764705885042,1.1719401607596247,0,0,0,-9.411442603035614e-05,0
2026-01-06 23:00:00+00:00,1.1688,1.16903,1.16866,1.16868,838.07,-9.411442603035614e-05,-9.411885507084288e-05,1.169204,1.1703856,0.0007392669041364,9.411442603035614e-05,False,31.101867578932058,-0.0009781483157527138,-0.0008078775641962755,-0.00017027075155643832,1.1740856287458425,1.1671083712541577,1.170597,0.22525021438799592,0.0009782316753139415,0.17716599715459522,0.05405405405381076,1.1716261446836622,0,0,0,0.0004107197864258172,1
2026-01-07 00:00:00+00:00,1.1687,1.16941,1.16851,1.16916,3830.72,0.0004107197864258,0.000410635464142,1.16903,1.170347,0.0004398737192475,0.0004107197864258,False,35.79064025927812,-0.0009332370447232563,-0.0008329494603016717,-0.0001002875844215846,1.1736752188427624,1.1670987811572378,1.170387,0.31342482683279516,0.0009726436985058116,0.9406394878032921,0.7222222222221674,1.1716261446836622,0,0,0,0.00035067912005204427,1
2026-01-07 01:00:00+00:00,1.16916,1.17005,1.16897,1.16957,3651.6,0.000350679120052,0.0003506176465006,1.169035,1.1703284,0.0004462996004133,0.000350679120052,False,39.573387139826025,-0.000854708418762895,-0.0008373012519939164,-1.740716676897861e-05,1.1733107408437748,1.1671332591562253,1.170222,0.39445537308282436,0.0009803120057553943,0.7736281382603303,0.5555555555555098,1.1716261446836622,0,0,0,2.5650452730507922e-05,1
